,name,code,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price,arrivals,gdp_capita,distance,Distance_km
0,United Arab Emirates,ARE,AED,18.0,3.673,52625.126,193265.777,2023-01-01,4.900626191124421,8475.0,52977.0,5421.0,5583
2,Argentina,ARG,ARS,980.0,184.69875,13640.41,1782994.2,2023-01-01,5.305937370989247,6162.0,13731.0,16282.0,15941
4,Australia,AUS,AUD,7.25,1.41854032200865,65574.862,94358.39,2023-01-01,5.110887500000011,409096.0,64712.0,6792.0,4746
6,Austria,AUT,EUR,4.48,0.9195,52483.93,49800.808,2023-01-01,4.872213159325721,14358.0,56506.0,9198.0,9469
8,Azerbaijan,AZE,AZN,4.9,1.7025,7822.589,13298.401,2023-01-01,2.878120411160059,1712.0,7155.0,6433.0,6737
10,Belgium,BEL,EUR,4.6,0.9195,50259.448,47690.048,2023-01-01,5.002718868950517,21020.0,53475.0,10035.0,10174
12,Bahrain,BHR,BHD,1.7,0.377,28781.89,10821.99,2023-01-01,4.509283819628647,2780.0,29084.0,5906.0,5980
14,Brazil,BRA,BRL,22.9,5.1581,9612.062,49638.291,2023-01-01,4.439619239642504,15139.0,10044.0,16178.0,16946
16,Canada,CAN,CAD,6.11,1.33595,55612.897,72383.231,2023-01-01,4.573524458250684,84768.0,53372.0,14483.0,12827
18,Switzerland,CHE,CHF,6.7,0.92315,93676.912,89445.76,2023-01-01,7.257758760764773,26593.0,99995.0,9789.0,9951
20,Chile,CHL,CLP,3800.0,800.425,15238.627,13306191.73,2023-01-01,4.747477902364369,3510.0,17093.0,16892.0,16454
22,China,CHN,CNY,24.0,6.78405,12642.847,85175.916,2023-01-01,3.5377097751343225,1661719.0,12614.0,3425.0,3527
24,Colombia,COL,COP,18900.0,4545.55,6691.211,28479092.812,2023-01-01,4.157912683833639,2859.0,6980.0,18751.0,18955
26,Costa Rica,CRI,CRC,2800.0,564.07,13239.876,8569035.283,2023-01-01,4.963922917368412,922.0,16595.0,18098.0,18338
28,Czech Republic,CZE,CZK,99.0,21.94565,26835.823,626804.324,2023-01-01,4.511144577627001,9728.0,30427.0,9334.0,9399
30,Germany,DEU,EUR,4.76,0.9195,48756.309,46263.753,2023-01-01,5.176726481783578,144717.0,52746.0,9392.0,9749
32,Denmark,DNK,DKK,37.0,6.8401,68131.892,482111.615,2023-01-01,5.409277642139736,19080.0,67967.0,9428.0,9771
34,Egypt,EGY,EGP,55.0,29.845,4587.172,75699.807,2023-01-01,1.8428547495392864,25669.0,3513.0,7845.0,7930
36,Spain,ESP,EUR,4.85,0.9195,29799.745,28276.3,2023-01-01,5.274605764002175,48872.0,32677.0,10904.0,11016
