,name,code,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price,arrivals,gdp_capita,distance
77,Bahrain,BHR,BHD,1.7,0.37695,28781.89,10821.99,2023-07-01,4.509881947207853,2780.0,29084.0,5906.0
78,Brazil,BRA,BRL,22.9,4.75705,9612.062,49638.291,2023-07-01,4.813907778980671,15139.0,10044.0,16178.0
79,Canada,CAN,CAD,7.05,1.31625,55612.897,72383.231,2023-07-01,5.356125356125356,84768.0,53372.0,14483.0
80,Switzerland,CHE,CHF,6.7,0.86685,93676.912,89445.76,2023-07-01,7.729134221606968,26593.0,99995.0,9789.0
81,Chile,CHL,CLP,3900.0,839.505,15238.627,13306191.73,2023-07-01,4.645594725463219,3510.0,17093.0,16892.0
82,China,CHN,CNY,25.0,7.14355,12642.847,85175.916,2023-07-01,3.499660532928306,1661719.0,12614.0,3425.0
83,Colombia,COL,COP,18900.0,3882.915,6691.211,28479092.812,2023-07-01,4.867477140241288,2859.0,6980.0,18751.0
84,Costa Rica,CRI,CRC,2950.0,544.875,13239.876,8569035.283,2023-07-01,5.414085799495297,922.0,16595.0,18098.0
85,Czech Republic,CZE,CZK,105.0,21.6516,26835.823,626804.324,2023-07-01,4.8495261320179575,9728.0,30427.0,9334.0
86,Germany,DEU,EUR,5.34,0.90699,48756.309,46263.753,2023-07-01,5.887606258062382,144717.0,52746.0,9392.0
87,Denmark,DNK,DKK,38.2,6.7593,68131.892,482111.615,2023-07-01,5.6514727856434845,19080.0,67967.0,9428.0
88,Egypt,EGY,EGP,81.0,30.925,4587.172,75699.807,2023-07-01,2.6192400970088925,25669.0,3513.0,7845.0
89,Spain,ESP,EUR,5.2,0.90699,29799.745,28276.3,2023-07-01,5.7332495396862155,48872.0,32677.0,10904.0
90,Estonia,EST,EUR,4.45,0.90699,28136.261,26697.859,2023-07-01,4.906338548385319,3331.0,29824.0,8715.0
91,Euro area,EUZ,EUR,5.28,0.90699,41472.1556018238,39351.9811881565,2023-07-01,5.821453378758311,,,
92,Finland,FIN,EUR,5.75,0.90699,50846.6,48247.183,2023-07-01,6.3396509333068725,10146.0,53756.0,8715.0
93,France,FRA,EUR,5.3,0.90699,42306.085,40143.282,2023-07-01,5.843504338526334,141828.0,44461.0,10218.0
94,Britain,GBR,GBP,4.19,0.77721,45730.102,36966.04,2023-07-01,5.391078344334222,325653.0,48867.0,10326.0
95,Greece,GRC,EUR,4.7,0.90699,20818.073,19753.796,2023-07-01,5.181975545485618,4243.0,22990.0,8589.0
96,Guatemala,GTM,GTQ,29.0,7.8689,5097.593,39497.082,2023-07-01,3.685394400742162,476.0,5798.0,17318.0
97,Hong Kong,HKG,HKD,23.0,7.7987,48001.536,375920.028,2023-07-01,2.949209483631887,10345.0,50697.0,2199.0
98,Honduras,HND,HNL,102.0,24.62,3080.948,75442.737,2023-07-01,4.1429731925264015,266.0,3247.0,17543.0
99,Croatia,HRV,EUR,4.09,0.90699,18583.329,17633.299,2023-07-01,4.509421272560888,2803.0,21460.0,9235.0
100,Hungary,HUN,HUF,1400.0,351.0725,18383.788,6819608.732,2023-07-01,3.9877803017895164,8016.0,22147.0,8999.0
101,Indonesia,IDN,IDR,38000.0,15080.0,4799.1,71265931.89,2023-07-01,2.519893899204244,3734821.0,4941.0,1458.0
102,India,IND,INR,209.0,82.2488,2366.31,190164.833,2023-07-01,2.54107050801957,930548.0,2485.0,3487.0
103,Ireland,IRL,EUR,5.1,0.90699,103290.607,98010.109,2023-07-01,5.622994740846095,22383.0,103685.0,10670.0
104,Israel,ISR,ILS,17.0,3.66365,54967.466,184669.49,2023-07-01,4.6401812400201985,2.0,52262.0,7486.0
105,Italy,ITA,EUR,5.8,0.90699,35043.092,33251.594,2023-07-01,6.394778332726932,58137.0,38373.0,9537.0
106,Jordan,JOR,JOD,2.5,0.70895,4317.09,3060.811,2023-07-01,3.526341773044644,10560.0,4482.0,7420.0
107,Japan,JPN,JPY,450.0,142.08,34004.657,4471549.14,2023-07-01,3.1672297297297294,324050.0,33834.0,5033.0
108,South Korea,KOR,KRW,5200.0,1274.65,32394.683,41836005.87,2023-07-01,4.07955124936257,444660.0,33121.0,
109,Kuwait,KWT,KWD,1.4,0.3071,37624.95,11520.321,2023-07-01,4.558775643112993,12842.0,37533.0,6217.0
110,Lebanon,LBN,LBP,430000.0,85500.0,3283.414,82855099.216,2023-07-01,5.029239766081871,3516.0,,7491.0
111,Sri Lanka,LKA,LKR,1820.0,327.5,3341.996,1078237.08,2023-07-01,5.557251908396947,66274.0,3828.0,2478.0
112,Lithuania,LTU,EUR,3.85,0.90699,25152.052,23866.211,2023-07-01,4.244809755344602,5646.0,27103.0,8616.0
113,Latvia,LVA,EUR,3.7,0.90699,21566.931,20464.371,2023-07-01,4.079427557084422,2826.0,23184.0,8718.0
114,Moldova,MDA,MDL,63.0,17.665,5726.139,108446.585,2023-07-01,3.5663741862439853,443.0,6651.0,8254.0
115,Mexico,MEX,MXN,89.0,16.7025,11259.75,226628.933,2023-07-01,5.328543631192935,10541.0,13926.0,16346.0
116,Malaysia,MYS,MYR,13.15,4.509,12465.612,54862.122,2023-07-01,2.916389443335551,,11649.0,0.0
117,Nicaragua,NIC,NIO,159.0,36.55,2371.681,85086.901,2023-07-01,4.350205198358413,82.0,2530.0,17782.0
118,Netherlands,NLD,EUR,5.33,0.90699,57427.756,54491.892,2023-07-01,5.87658077817837,79988.0,62537.0,9969.0
119,Norway,NOR,NOK,70.0,10.1165,108438.547,1042546.263,2023-07-01,6.919389116789403,12004.0,87962.0,9503.0
120,New Zealand,NZL,NZD,8.1,1.60681288663935,47284.147,74353.17,2023-07-01,5.041035000000003,53257.0,48528.0,8886.0
121,Oman,OMN,OMR,1.42,0.38505,23446.795,9015.293,2023-07-01,3.687832748993637,19439.0,23295.0,5052.0
122,Pakistan,PAK,PKR,985.0,286.25,1650.678,293532.305,2023-07-01,3.441048034934498,157774.0,1407.0,4284.0
