,date,sub-region,arrivals
190,Dec 2023,Australia and New Zealand,2671.0
191,Dec 2023,Central Asia,128.0
192,Dec 2023,Eastern Asia,4752.0
193,Dec 2023,Eastern Europe,260.0
194,Dec 2023,Latin America and the Caribbean,40.0
195,Dec 2023,Melanesia,39.0
196,Dec 2023,Micronesia,3.0
197,Dec 2023,Northern Africa,170.0
198,Dec 2023,Northern America,1789.0
199,Dec 2023,Northern Europe,533.0
200,Dec 2023,Polynesia,6.0
201,Dec 2023,South-eastern Asia,22721.0
202,Dec 2023,Southern Asia,2809.0
203,Dec 2023,Southern Europe,140.0
204,Dec 2023,Sub-Saharan Africa,95.0
205,Dec 2023,Western Asia,160.0
206,Dec 2023,Western Europe,543.0
207,Feb 2020,Australia and New Zealand,1124.0
208,Feb 2020,Central Asia,155.0
209,Feb 2020,Eastern Asia,2841.0
210,Feb 2020,Eastern Europe,287.0
211,Feb 2020,Latin America and the Caribbean,34.0
212,Feb 2020,Melanesia,13.0
213,Feb 2020,Micronesia,2.0
214,Feb 2020,Northern Africa,176.0
215,Feb 2020,Northern America,1064.0
216,Feb 2020,Northern Europe,454.0
217,Feb 2020,Polynesia,4.0
218,Feb 2020,South-eastern Asia,14377.0
219,Feb 2020,Southern Asia,1918.0
220,Feb 2020,Southern Europe,117.0
221,Feb 2020,Sub-Saharan Africa,43.0
222,Feb 2020,Western Asia,142.0
223,Feb 2020,Western Europe,470.0
224,Feb 2021,Australia and New Zealand,20.0
225,Feb 2021,Central Asia,8.0
226,Feb 2021,Eastern Asia,95.0
227,Feb 2021,Eastern Europe,21.0
228,Feb 2021,Latin America and the Caribbean,5.0
229,Feb 2021,Melanesia,1.0
230,Feb 2021,Micronesia,10.0
231,Feb 2021,Northern Africa,18.0
232,Feb 2021,Northern America,31.0
233,Feb 2021,Northern Europe,26.0
234,Feb 2021,South-eastern Asia,764.0
235,Feb 2021,Southern Asia,115.0
236,Feb 2021,Southern Europe,13.0
237,Feb 2021,Sub-Saharan Africa,10.0
238,Feb 2021,Western Asia,13.0
239,Feb 2021,Western Europe,21.0
240,Feb 2022,Australia and New Zealand,72.0
241,Feb 2022,Central Asia,22.0
242,Feb 2022,Eastern Asia,204.0
243,Feb 2022,Eastern Europe,19.0
244,Feb 2022,Latin America and the Caribbean,7.0
245,Feb 2022,Melanesia,3.0
246,Feb 2022,Northern Africa,117.0
247,Feb 2022,Northern America,95.0
248,Feb 2022,Northern Europe,55.0
249,Feb 2022,South-eastern Asia,819.0
250,Feb 2022,Southern Asia,674.0
251,Feb 2022,Southern Europe,21.0
252,Feb 2022,Sub-Saharan Africa,18.0
253,Feb 2022,Western Asia,46.0
254,Feb 2022,Western Europe,47.0
255,Feb 2023,Australia and New Zealand,1098.0
256,Feb 2023,Central Asia,85.0
257,Feb 2023,Eastern Asia,2803.0
258,Feb 2023,Eastern Europe,291.0
259,Feb 2023,Latin America and the Caribbean,30.0
260,Feb 2023,Melanesia,16.0
261,Feb 2023,Micronesia,2.0
262,Feb 2023,Northern Africa,123.0
263,Feb 2023,Northern America,1122.0
264,Feb 2023,Northern Europe,351.0
265,Feb 2023,Polynesia,3.0
266,Feb 2023,South-eastern Asia,15052.0
267,Feb 2023,Southern Asia,2353.0
268,Feb 2023,Southern Europe,99.0
269,Feb 2023,Sub-Saharan Africa,37.0
270,Feb 2023,Western Asia,105.0
271,Feb 2023,Western Europe,448.0
272,Feb 2024,Australia and New Zealand,1306.0
273,Feb 2024,Central Asia,167.0
274,Feb 2024,Eastern Asia,7107.0
275,Feb 2024,Eastern Europe,317.0
276,Feb 2024,Latin America and the Caribbean,38.0
277,Feb 2024,Melanesia,19.0
278,Feb 2024,Micronesia,3.0
279,Feb 2024,Northern Africa,165.0
280,Feb 2024,Northern America,1319.0
281,Feb 2024,Northern Europe,611.0
282,Feb 2024,Polynesia,5.0
283,Feb 2024,South-eastern Asia,17953.0
284,Feb 2024,Southern Asia,2052.0
285,Feb 2024,Southern Europe,150.0
286,Feb 2024,Sub-Saharan Africa,48.0
287,Feb 2024,Western Asia,158.0
288,Feb 2024,Western Europe,673.0
289,Jan 2020,Australia and New Zealand,2425.0
290,Jan 2020,Central Asia,247.0
291,Jan 2020,Eastern Asia,7816.0
292,Jan 2020,Eastern Europe,288.0
293,Jan 2020,Latin America and the Caribbean,47.0
294,Jan 2020,Melanesia,26.0
295,Jan 2020,Micronesia,2.0
296,Jan 2020,Northern Africa,191.0
297,Jan 2020,Northern America,1681.0
298,Jan 2020,Northern Europe,496.0
299,Jan 2020,Polynesia,3.0
300,Jan 2020,South-eastern Asia,19624.0
301,Jan 2020,Southern Asia,2376.0
302,Jan 2020,Southern Europe,121.0
303,Jan 2020,Sub-Saharan Africa,63.0
304,Jan 2020,Western Asia,329.0
305,Jan 2020,Western Europe,461.0
306,Jan 2021,Australia and New Zealand,22.0
307,Jan 2021,Central Asia,8.0
308,Jan 2021,Eastern Asia,102.0
309,Jan 2021,Eastern Europe,19.0
310,Jan 2021,Latin America and the Caribbean,7.0
311,Jan 2021,Melanesia,2.0
312,Jan 2021,Micronesia,6.0
313,Jan 2021,Northern Africa,16.0
314,Jan 2021,Northern America,39.0
315,Jan 2021,Northern Europe,22.0
316,Jan 2021,South-eastern Asia,767.0
317,Jan 2021,Southern Asia,98.0
318,Jan 2021,Southern Europe,10.0
319,Jan 2021,Sub-Saharan Africa,6.0
320,Jan 2021,Western Asia,12.0
321,Jan 2021,Western Europe,30.0
322,Jan 2022,Australia and New Zealand,125.0
323,Jan 2022,Central Asia,31.0
324,Jan 2022,Eastern Asia,175.0
325,Jan 2022,Eastern Europe,21.0
326,Jan 2022,Latin America and the Caribbean,16.0
327,Jan 2022,Melanesia,2.0
328,Jan 2022,Northern Africa,90.0
329,Jan 2022,Northern America,113.0
330,Jan 2022,Northern Europe,103.0
331,Jan 2022,South-eastern Asia,906.0
332,Jan 2022,Southern Asia,711.0
333,Jan 2022,Southern Europe,39.0
334,Jan 2022,Sub-Saharan Africa,19.0
335,Jan 2022,Western Asia,60.0
336,Jan 2022,Western Europe,79.0
337,Jan 2023,Australia and New Zealand,2181.0
338,Jan 2023,Central Asia,114.0
339,Jan 2023,Eastern Asia,2628.0
340,Jan 2023,Eastern Europe,294.0
341,Jan 2023,Latin America and the Caribbean,33.0
342,Jan 2023,Melanesia,19.0
343,Jan 2023,Micronesia,2.0
344,Jan 2023,Northern Africa,127.0
345,Jan 2023,Northern America,1209.0
346,Jan 2023,Northern Europe,410.0
347,Jan 2023,Polynesia,7.0
348,Jan 2023,South-eastern Asia,16317.0
349,Jan 2023,Southern Asia,2282.0
350,Jan 2023,Southern Europe,103.0
351,Jan 2023,Sub-Saharan Africa,48.0
352,Jan 2023,Western Asia,110.0
353,Jan 2023,Western Europe,447.0
354,Jan 2024,Australia and New Zealand,2353.0
355,Jan 2024,Central Asia,222.0
356,Jan 2024,Eastern Asia,6048.0
357,Jan 2024,Eastern Europe,346.0
358,Jan 2024,Latin America and the Caribbean,47.0
359,Jan 2024,Melanesia,42.0
360,Jan 2024,Micronesia,5.0
361,Jan 2024,Northern Africa,196.0
362,Jan 2024,Northern America,1366.0
363,Jan 2024,Northern Europe,605.0
364,Jan 2024,Polynesia,9.0
365,Jan 2024,South-eastern Asia,16757.0
366,Jan 2024,Southern Asia,2621.0
367,Jan 2024,Southern Europe,172.0
368,Jan 2024,Sub-Saharan Africa,59.0
369,Jan 2024,Western Asia,204.0
370,Jan 2024,Western Europe,499.0
371,Jul 2020,Australia and New Zealand,29.0
372,Jul 2020,Central Asia,7.0
373,Jul 2020,Eastern Asia,74.0
374,Jul 2020,Eastern Europe,29.0
375,Jul 2020,Latin America and the Caribbean,4.0
376,Jul 2020,Northern Africa,6.0
377,Jul 2020,Northern America,77.0
378,Jul 2020,Northern Europe,25.0
379,Jul 2020,South-eastern Asia,427.0
380,Jul 2020,Southern Asia,72.0
381,Jul 2020,Southern Europe,11.0
382,Jul 2020,Sub-Saharan Africa,4.0
383,Jul 2020,Western Asia,9.0
384,Jul 2020,Western Europe,32.0
385,Jul 2021,Australia and New Zealand,16.0
386,Jul 2021,Central Asia,5.0
387,Jul 2021,Eastern Asia,95.0
388,Jul 2021,Eastern Europe,12.0
389,Jul 2021,Latin America and the Caribbean,5.0
390,Jul 2021,Micronesia,4.0
391,Jul 2021,Northern Africa,19.0
392,Jul 2021,Northern America,90.0
393,Jul 2021,Northern Europe,49.0
394,Jul 2021,South-eastern Asia,762.0
395,Jul 2021,Southern Asia,14.0
396,Jul 2021,Southern Europe,9.0
397,Jul 2021,Sub-Saharan Africa,5.0
398,Jul 2021,Western Asia,12.0
399,Jul 2021,Western Europe,20.0
400,Jul 2022,Australia and New Zealand,1058.0
401,Jul 2022,Central Asia,73.0
402,Jul 2022,Eastern Asia,1522.0
403,Jul 2022,Eastern Europe,74.0
404,Jul 2022,Latin America and the Caribbean,24.0
405,Jul 2022,Melanesia,16.0
406,Jul 2022,Micronesia,1.0
407,Jul 2022,Northern Africa,118.0
408,Jul 2022,Northern America,987.0
409,Jul 2022,Northern Europe,370.0
410,Jul 2022,Polynesia,2.0
411,Jul 2022,South-eastern Asia,14368.0
412,Jul 2022,Southern Asia,1786.0
413,Jul 2022,Southern Europe,116.0
414,Jul 2022,Sub-Saharan Africa,27.0
415,Jul 2022,Western Asia,218.0
416,Jul 2022,Western Europe,411.0
417,Jul 2023,Australia and New Zealand,1796.0
418,Jul 2023,Central Asia,104.0
419,Jul 2023,Eastern Asia,5388.0
420,Jul 2023,Eastern Europe,189.0
421,Jul 2023,Latin America and the Caribbean,36.0
422,Jul 2023,Melanesia,24.0
423,Jul 2023,Micronesia,2.0
424,Jul 2023,Northern Africa,226.0
425,Jul 2023,Northern America,1416.0
426,Jul 2023,Northern Europe,523.0
427,Jul 2023,Polynesia,4.0
428,Jul 2023,South-eastern Asia,18927.0
429,Jul 2023,Southern Asia,2531.0
430,Jul 2023,Southern Europe,192.0
431,Jul 2023,Sub-Saharan Africa,52.0
432,Jul 2023,Western Asia,315.0
433,Jul 2023,Western Europe,652.0
434,Jun 2020,Australia and New Zealand,9.0
435,Jun 2020,Central Asia,1.0
436,Jun 2020,Eastern Asia,50.0
437,Jun 2020,Eastern Europe,5.0
438,Jun 2020,Latin America and the Caribbean,1.0
439,Jun 2020,Northern Africa,3.0
440,Jun 2020,Northern America,13.0
441,Jun 2020,Northern Europe,11.0
442,Jun 2020,South-eastern Asia,433.0
443,Jun 2020,Southern Asia,26.0
444,Jun 2020,Southern Europe,2.0
445,Jun 2020,Sub-Saharan Africa,9.0
446,Jun 2020,Western Asia,4.0
447,Jun 2020,Western Europe,8.0
448,Jun 2021,Australia and New Zealand,15.0
449,Jun 2021,Central Asia,9.0
450,Jun 2021,Eastern Asia,107.0
451,Jun 2021,Eastern Europe,25.0
452,Jun 2021,Latin America and the Caribbean,4.0
453,Jun 2021,Melanesia,3.0
454,Jun 2021,Micronesia,5.0
455,Jun 2021,Northern Africa,21.0
456,Jun 2021,Northern America,63.0
457,Jun 2021,Northern Europe,16.0
458,Jun 2021,South-eastern Asia,762.0
459,Jun 2021,Southern Asia,10.0
460,Jun 2021,Southern Europe,8.0
461,Jun 2021,Sub-Saharan Africa,9.0
462,Jun 2021,Western Asia,13.0
463,Jun 2021,Western Europe,19.0
464,Jun 2022,Australia and New Zealand,707.0
465,Jun 2022,Central Asia,55.0
466,Jun 2022,Eastern Asia,928.0
467,Jun 2022,Eastern Europe,59.0
468,Jun 2022,Latin America and the Caribbean,18.0
469,Jun 2022,Melanesia,13.0
470,Jun 2022,Micronesia,3.0
471,Jun 2022,Northern Africa,121.0
472,Jun 2022,Northern America,804.0
473,Jun 2022,Northern Europe,242.0
474,Jun 2022,Polynesia,1.0
475,Jun 2022,South-eastern Asia,12677.0
476,Jun 2022,Southern Asia,1612.0
477,Jun 2022,Southern Europe,62.0
478,Jun 2022,Sub-Saharan Africa,24.0
479,Jun 2022,Western Asia,174.0
480,Jun 2022,Western Europe,225.0
481,Jun 2023,Australia and New Zealand,1349.0
482,Jun 2023,Central Asia,73.0
483,Jun 2023,Eastern Asia,2981.0
484,Jun 2023,Eastern Europe,116.0
485,Jun 2023,Latin America and the Caribbean,22.0
486,Jun 2023,Melanesia,31.0
487,Jun 2023,Micronesia,2.0
488,Jun 2023,Northern Africa,119.0
489,Jun 2023,Northern America,1036.0
490,Jun 2023,Northern Europe,295.0
