,year,country,latitude,longitude,region,arrivals
251,2021,Finland,61.92411,25.748151,Europe,183.0
252,2021,France,46.227638,2.213749,Europe,1977.0
253,2021,Gabon,-0.803689,11.609444,Africa,8.0
254,2021,Gambia,13.443182,-15.310139,Africa,19.0
255,2021,Georgia,42.315407,43.356892,Asia,45.0
256,2021,Germany,51.165691,10.451526,Europe,1512.0
257,2021,Ghana,7.946527,-1.023194,Africa,84.0
258,2021,Greece,39.074208,21.824312,Europe,108.0
259,2021,Grenada,12.262776,-61.604171,Americas,4.0
260,2021,Guatemala,15.783471,-90.230759,Americas,3.0
261,2021,Guinea,9.945587,-9.696645,Africa,94.0
262,2021,Haiti,18.971187,-72.285215,Americas,1.0
263,2021,Holy See (Vatican City State),41.902916,12.453389,Europe,5.0
264,2021,Honduras,15.199999,-86.241905,Americas,13.0
265,2021,Hong Kong,22.396428,114.109497,Asia,174.0
266,2021,Hungary,47.162494,19.503304,Europe,94.0
267,2021,Iceland,64.963051,-19.020835,Europe,4.0
268,2021,India,20.593684,78.96288,Asia,14485.0
269,2021,Indonesia,-0.789275,113.921327,Asia,20048.0
270,2021,"Iran, Islamic Republic of",32.427908,53.688046,Asia,759.0
271,2021,Iraq,33.223191,43.679291,Asia,702.0
272,2021,Ireland,53.41291,-8.24389,Europe,246.0
273,2021,Italy,41.87194,12.56738,Europe,694.0
274,2021,Jamaica,18.109581,-77.297508,Americas,6.0
275,2021,Japan,36.204824,138.252924,Asia,6817.0
276,2021,Jordan,30.585164,36.238414,Asia,423.0
277,2021,Kazakhstan,48.019573,66.923684,Asia,242.0
278,2021,Kenya,-0.023559,37.906193,Africa,258.0
279,2021,Kiribati,-3.370417,-168.734039,Oceania,40.0
280,2021,"Korea, Democratic People's Republic of",40.339852,127.510093,Asia,1.0
281,2021,"Korea, Republic of",35.907757,127.766922,Asia,5348.0
282,2021,Kuwait,29.31166,47.481766,Asia,58.0
283,2021,Kyrgyzstan,41.20438,74.766098,Asia,59.0
284,2021,Lao People's Democratic Republic,19.85627,102.495496,Asia,554.0
285,2021,Latvia,56.879635,24.603189,Europe,48.0
286,2021,Lebanon,33.854721,35.862285,Asia,73.0
287,2021,Lesotho,-29.609988,28.233608,Africa,2.0
288,2021,Liberia,6.428055,-9.429499,Africa,23.0
289,2021,Libya,26.3351,17.228331,Africa,609.0
290,2021,Liechtenstein,47.166,9.555373,Europe,3.0
291,2021,Lithuania,55.169438,23.881275,Europe,63.0
292,2021,Luxembourg,49.815273,6.129583,Europe,10.0
293,2021,Madagascar,-18.766947,46.869107,Africa,3.0
294,2021,Malawi,-13.254308,34.301525,Africa,31.0
295,2021,Maldives,3.202778,73.22068,Asia,948.0
296,2021,Mali,17.570692,-3.996166,Africa,19.0
297,2021,Malta,35.937496,14.375416,Europe,13.0
298,2021,Marshall Islands,7.131474,171.184478,Oceania,2.0
299,2021,Mauritania,21.00789,-10.940835,Africa,42.0
300,2021,Mauritius,-20.348404,57.552152,Africa,146.0
301,2021,Mexico,23.634501,-102.552784,Americas,120.0
302,2021,"Moldova, Republic of",47.411631,28.369885,Europe,3.0
303,2021,Monaco,43.750298,7.412841,Europe,3.0
304,2021,Mongolia,46.862496,103.846656,Asia,19.0
305,2021,Montenegro,42.708678,19.37439,Europe,76.0
306,2021,Morocco,31.791702,-7.09262,Africa,121.0
307,2021,Mozambique,-18.665695,35.529562,Africa,51.0
308,2021,Myanmar,21.913965,95.956223,Asia,1658.0
309,2021,Nepal,28.394857,84.124008,Asia,1132.0
310,2021,Netherlands,52.132633,5.291266,Europe,865.0
311,2021,New Zealand,-40.900557,174.885971,Oceania,305.0
312,2021,Nicaragua,12.865416,-85.207229,Americas,8.0
313,2021,Niger,17.607789,8.081666,Africa,2.0
314,2021,Nigeria,9.081999,8.675277,Africa,1267.0
315,2021,North Macedonia,41.608635,21.745275,Europe,11.0
316,2021,Norway,60.472024,8.468946,Europe,240.0
317,2021,Oman,21.512583,55.923255,Asia,187.0
318,2021,Pakistan,30.375321,69.345116,Asia,5183.0
319,2021,"Palestine, State of",31.952162,35.233154,Asia,251.0
320,2021,Panama,8.537981,-80.782127,Americas,21.0
321,2021,Papua New Guinea,-6.314993,143.95555,Oceania,12.0
322,2021,Peru,-9.189967,-75.015152,Americas,22.0
323,2021,Philippines,12.879721,121.774017,Asia,7840.0
324,2021,Poland,51.919438,19.145136,Europe,358.0
325,2021,Portugal,39.399872,-8.224454,Europe,151.0
326,2021,Qatar,25.354826,51.183884,Asia,50.0
327,2021,Romania,45.943161,24.96676,Europe,334.0
328,2021,Russian Federation,61.52401,105.318756,Europe,955.0
329,2021,Rwanda,-1.940278,29.873888,Africa,15.0
330,2021,Saint Kitts and Nevis,17.357822,-62.782998,Americas,6.0
331,2021,Saint Lucia,13.909444,-60.978893,Americas,3.0
332,2021,San Marino,43.94236,12.457777,Europe,1.0
333,2021,Sao Tome and Principe,0.18636,6.613081,Africa,2.0
334,2021,Saudi Arabia,23.885942,45.079162,Asia,1147.0
335,2021,Senegal,14.497401,-14.452362,Africa,50.0
336,2021,Serbia,44.016521,21.005859,Europe,34.0
337,2021,Seychelles,-4.679574,55.491977,Africa,103.0
338,2021,Sierra Leone,8.460555,-11.779889,Africa,21.0
339,2021,Singapore,1.352083,103.819836,Asia,17692.0
340,2021,Slovakia,48.669026,19.699024,Europe,110.0
341,2021,Slovenia,46.151241,14.995463,Europe,20.0
342,2021,Solomon Islands,-9.64571,160.156194,Oceania,2.0
343,2021,Somalia,5.152149,46.199616,Africa,402.0
344,2021,South Africa,-30.559482,22.937506,Africa,489.0
345,2021,South Georgia and the South Sandwich Islands,-54.429579,-36.587909,Americas,1.0
346,2021,Spain,40.463667,-3.74922,Europe,384.0
347,2021,Sri Lanka,7.873054,80.771797,Asia,830.0
348,2021,Sudan,12.862807,30.217636,Africa,692.0
349,2021,Sweden,60.128161,18.643501,Europe,433.0
350,2021,Switzerland,46.818188,8.227512,Europe,289.0
351,2021,Syrian Arab Republic,34.802075,38.996815,Asia,410.0
352,2021,"Taiwan, Province of China",23.69781,120.960515,Asia,1161.0
353,2021,Tajikistan,38.861034,71.276093,Asia,38.0
354,2021,"Tanzania, United Republic of",-6.369028,34.888822,Africa,214.0
355,2021,Thailand,15.870032,100.992541,Asia,319365.0
356,2021,Timor-Leste,-8.874217,125.727539,Asia,25.0
357,2021,Togo,8.619543,0.824782,Africa,6.0
358,2021,Trinidad and Tobago,10.691803,-61.222503,Americas,14.0
359,2021,Tunisia,33.886917,9.537499,Africa,78.0
360,2021,Turkmenistan,38.969719,59.556278,Asia,29.0
361,2021,Türkiye,38.963745,35.243322,Asia,549.0
362,2021,Uganda,1.373333,32.290275,Africa,60.0
363,2021,Ukraine,48.379433,31.16558,Europe,800.0
364,2021,United Arab Emirates,23.424076,53.847818,Asia,103.0
365,2021,United Kingdom,55.378051,-3.435973,Europe,5007.0
366,2021,United States,37.09024,-95.712891,Americas,3265.0
367,2021,Uruguay,-32.522779,-55.765835,Americas,9.0
368,2021,Uzbekistan,41.377491,64.585262,Asia,197.0
369,2021,Vanuatu,-15.376706,166.959158,Oceania,9.0
370,2021,"Venezuela, Bolivarian Republic of",6.42375,-66.58973,Americas,37.0
371,2021,Viet Nam,14.058324,108.277199,Asia,1305.0
372,2021,Yemen,15.552727,48.516388,Asia,1201.0
373,2021,Zambia,-13.133897,27.849332,Africa,108.0
374,2021,Zimbabwe,-19.015438,29.154857,Africa,98.0
375,2022,Afghanistan,33.93911,67.709953,Asia,865.0
376,2022,Albania,41.153332,20.168331,Europe,350.0
377,2022,Algeria,28.033886,1.659626,Africa,3700.0
378,2022,Andorra,42.546245,1.601554,Europe,36.0
379,2022,Angola,-11.202692,17.873887,Africa,35.0
